iter	Passed	Remaining
0	1	121
1	2	104
2	2	96
3	3	86
4	4	84
5	5	87
6	6	90
7	7	91
8	9	93
9	10	95
10	11	94
11	12	93
12	13	90
13	14	88
14	15	87
15	16	86
16	17	84
17	18	83
18	19	82
19	20	81
20	21	81
21	23	81
22	24	80
23	25	79
24	26	80
25	27	78
26	28	77
27	29	76
28	30	74
29	31	72
30	32	71
31	32	69
32	33	68
33	34	67
34	35	66
35	37	66
36	38	65
37	39	64
38	40	63
39	41	61
40	41	60
41	42	58
42	43	57
43	44	56
44	45	55
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	51	49
51	52	48
52	53	47
53	54	46
54	55	45
55	56	44
56	57	43
57	58	42
58	59	41
59	60	40
60	61	39
61	62	38
62	63	37
63	64	36
64	65	35
65	66	34
66	68	33
67	69	32
68	70	31
69	71	30
70	71	29
71	72	28
72	73	27
73	74	26
74	75	25
75	76	24
76	76	22
77	77	21
78	78	20
79	79	19
80	80	18
81	81	17
82	82	16
83	83	15
84	84	14
85	85	13
86	86	12
87	87	11
88	88	10
89	89	9
90	90	8
91	91	7
92	91	6
93	92	5
94	93	4
95	95	3
96	96	2
97	97	1
98	98	0
99	99	0
